flight_id,image_name,original_path,copied_path,latitude,longitude,absolute_altitude,relative_altitude,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,tags,pitch_group,selection_reason,review_status
DJI_202510311347_009_新建面状航线1,DJI_20251031135226_0007_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,30.391360976,114.436860890,391.462,372.271,-90.00,-29.20,-13.70,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135240_0013_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,30.389729402,114.437908373,391.490,372.298,-90.00,-29.40,-15.50,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135249_0017_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,30.388641498,114.438608174,391.443,372.259,-90.00,-29.20,-14.70,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135518_0069_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,30.383033894,114.443465359,391.433,372.261,-90.00,152.30,-20.50,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135527_0073_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,30.384122406,114.442766885,391.455,372.281,-90.00,152.10,-19.50,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135751_0123_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,30.392065173,114.438923413,391.457,372.267,-90.00,-29.20,-12.60,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135805_0129_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,30.390435902,114.439970369,391.488,372.295,-90.00,-29.20,-13.20,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031135815_0134_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,30.389296495,114.440703414,391.482,372.291,-90.00,-29.00,-13.10,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031140038_0183_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,30.383170629,114.445894109,391.400,372.241,-90.00,151.70,-18.40,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
DJI_202510311347_009_新建面状航线1,DJI_20251031140057_0191_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,30.385351682,114.444493056,391.444,372.269,-90.00,151.60,-19.60,nadir,nadir,Selected from strict nadir pool with gimbal_pitch_degree <= -85.0 and even frame spacing.,auto_selected_nadir_009010
