flight_id,image_name,original_path,copied_path,latitude,longitude,absolute_altitude,relative_altitude,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,tags,pitch_group,selection_reason,review_status
DJI_202510311435_011_新建面状航线1,DJI_20251031143923_0011_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,30.396705099,114.452788577,391.527,372.265,-44.90,-118.70,-16.40,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144132_0042_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,30.388302394,114.435214044,391.501,372.021,-45.10,61.40,-16.60,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144539_0092_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,30.390884028,114.445153468,391.485,372.023,-45.10,61.40,-18.60,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144721_0113_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,30.385768287,114.436716196,391.516,372.038,-44.90,61.00,-14.90,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144854_0137_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,30.391824672,114.449384185,391.499,372.031,-45.00,-119.00,-15.00,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145237_0180_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,30.384437535,114.438471762,391.490,372.025,-45.00,60.90,-14.90,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145538_0218_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,30.388844617,114.449964623,391.464,372.018,-44.90,-118.40,-17.50,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145828_0255_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,30.385558803,114.445356609,391.496,372.017,-45.10,-119.10,-16.10,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,30.385894136,114.446058166,391.498,372.022,-45.00,-119.20,-14.70,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,30.386032989,114.446347659,391.467,372.268,-45.10,-119.10,-18.10,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,30.386179612,114.446655035,391.449,372.266,-44.90,60.80,-18.20,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150408_0019_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150408_0019_V.JPG,30.390288596,114.455248499,391.472,372.258,-45.10,-119.20,-15.30,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150550_0041_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150550_0041_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150550_0041_V.JPG,30.384701468,114.445839106,391.494,372.293,-45.00,61.40,-17.40,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150715_0056_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150715_0056_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150715_0056_V.JPG,30.380752952,114.439844228,391.486,372.301,-45.00,60.80,-15.30,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150818_0072_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150818_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150818_0072_V.JPG,30.384897220,114.448509942,391.495,372.264,-45.10,-119.00,-12.60,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031150832_0076_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150832_0076_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031150832_0076_V.JPG,30.385815506,114.450430653,391.478,372.271,-45.00,-119.00,-14.40,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031151024_0095_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031151024_0095_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151024_0095_V.JPG,30.385059527,114.451125064,391.477,372.281,-44.90,-118.50,-19.40,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031151141_0115_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031151141_0115_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151141_0115_V.JPG,30.379994776,114.440533162,391.479,372.277,-45.10,61.30,-16.20,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311500_012_新建面状航线1,DJI_20251031151150_0117_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,30.379310374,114.439102747,391.453,372.260,-45.00,61.60,-18.60,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
