source_group,query_id,strategy,k,retained_candidate_ids,retained_raw_ranks,retained_rerank_ranks,retained_inlier_counts,retained_match_counts,truth_retained,best_pose_candidate_retained,pnp_ok_available,truth_candidate_ids_in_top20,best_candidate_id
g03_siftgpu,q_003,rerank_fused_top3,3,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364802.517,3|1|13,1|2|3,238|209|170,935|638|357,1,1,1,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364652.517,cw_s500_x254008.721_y3364502.517
g03_siftgpu,q_004,rerank_fused_top3,3,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,2|1|16,1|2|3,347|328|314,1317|914|558,1,1,1,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,cw_s500_x254383.721_y3364127.517
g03_siftgpu,q_021,rerank_fused_top3,3,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517,1|14|7,1|2|3,852|777|741,1515|972|1681,1,0,1,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s200_x254983.721_y3364202.517,cw_s500_x254758.721_y3364127.517
g03_siftgpu,q_001,rerank_fused_top5,5,cw_s200_x253783.721_y3364952.517|cw_s200_x254233.721_y3364652.517|cw_s300_x254883.721_y3365002.517|cw_s200_x254083.721_y3365102.517|cw_s300_x255108.721_y3364327.517,2|20|1|3|4,1|2|3|4|5,409|5|4|4|4,668|39|13|17|15,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g03_siftgpu,q_002,rerank_fused_top5,5,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517|cw_s200_x253933.721_y3364802.517|cw_s500_x254008.721_y3364502.517,15|7|11|1|2,1|2|3|4|5,197|187|158|149|140,475|737|514|325|282,1,1,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g03_siftgpu,q_003,rerank_fused_top5,5,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364802.517|cw_s200_x253933.721_y3364502.517|cw_s200_x253933.721_y3364652.517,3|1|13|6|18,1|2|3|4|5,238|209|170|168|155,935|638|357|396|238,1,1,1,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364652.517,cw_s500_x254008.721_y3364502.517
g03_siftgpu,q_004,rerank_fused_top5,5,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517|cw_s200_x254533.721_y3364052.517|cw_s300_x254433.721_y3364327.517,2|1|16|10|9,1|2|3|4|5,347|328|314|127|46,1317|914|558|349|103,1,1,1,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,cw_s500_x254383.721_y3364127.517
g03_siftgpu,q_021,rerank_fused_top5,5,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s200_x254983.721_y3364202.517,1|14|7|5|6,1|2|3|4|5,852|777|741|640|548,1515|972|1681|1721|741,1,1,1,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s200_x254983.721_y3364202.517,cw_s500_x254758.721_y3364127.517
g03_siftgpu,q_001,inlier_count_top1,1,cw_s200_x253783.721_y3364952.517,2,1,409,668,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g03_siftgpu,q_002,inlier_count_top1,1,cw_s200_x253783.721_y3364802.517,15,1,197,475,1,0,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g03_siftgpu,q_003,inlier_count_top1,1,cw_s500_x254008.721_y3364502.517,3,1,238,935,1,1,1,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364652.517,cw_s500_x254008.721_y3364502.517
g03_siftgpu,q_004,inlier_count_top1,1,cw_s500_x254383.721_y3364127.517,2,1,347,1317,1,1,1,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,cw_s500_x254383.721_y3364127.517
g03_siftgpu,q_021,inlier_count_top1,1,cw_s300_x254883.721_y3364102.517,1,1,852,1515,1,0,1,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s200_x254983.721_y3364202.517,cw_s500_x254758.721_y3364127.517
g03_siftgpu,q_001,inlier_count_top3,3,cw_s200_x253783.721_y3364952.517|cw_s200_x254233.721_y3364652.517|cw_s300_x254883.721_y3365002.517,2|20|1,1|2|3,409|5|4,668|39|13,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g03_siftgpu,q_002,inlier_count_top3,3,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,15|7|11,1|2|3,197|187|158,475|737|514,1,1,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g03_siftgpu,q_003,inlier_count_top3,3,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364802.517,3|1|13,1|2|3,238|209|170,935|638|357,1,1,1,cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3364552.517|cw_s200_x253933.721_y3364652.517,cw_s500_x254008.721_y3364502.517
g03_siftgpu,q_004,inlier_count_top3,3,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,2|1|16,1|2|3,347|328|314,1317|914|558,1,1,1,cw_s500_x254383.721_y3364127.517|cw_s300_x254433.721_y3364102.517|cw_s200_x254383.721_y3364052.517,cw_s500_x254383.721_y3364127.517
g03_siftgpu,q_021,inlier_count_top3,3,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517,1|14|7,1|2|3,852|777|741,1515|972|1681,1,0,1,cw_s300_x254883.721_y3364102.517|cw_s200_x254983.721_y3364052.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s200_x254983.721_y3364202.517,cw_s500_x254758.721_y3364127.517
g03_siftgpu,q_001,inlier_count_top5,5,cw_s200_x253783.721_y3364952.517|cw_s200_x254233.721_y3364652.517|cw_s300_x254883.721_y3365002.517|cw_s200_x254083.721_y3365102.517|cw_s300_x255108.721_y3364327.517,2|20|1|3|4,1|2|3|4|5,409|5|4|4|4,668|39|13|17|15,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g03_siftgpu,q_002,inlier_count_top5,5,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517|cw_s200_x253933.721_y3364802.517|cw_s500_x254008.721_y3364502.517,15|7|11|1|2,1|2|3|4|5,197|187|158|149|140,475|737|514|325|282,1,1,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
